,0
0,1.0178217821782178
1,1.014945652173913
2,1.010703363914373
3,2.187108655616943
4,1.0796943231441047
5,2.761394739973819
6,1.0040983606557377
7,2.236547418491725
8,1.9626203871459902
9,1.4053581828771113
10,1.0
11,1.0090805902383655
12,1.1887550200803212
13,1.004733727810651
14,1.0896336710833983
15,1.0089352196574832
16,1.0016977928692699
17,1.0245009074410163
18,1.0118577075098814
19,1.0667361835245046
20,1.127228525121556
21,1.7500541946672448
22,1.0124069478908189
23,1.0527289546716003
24,1.1166666666666667
25,1.0030816640986133
26,1.0051948051948052
27,1.0210135970333745
28,1.0078534031413613
29,1.0074165636588381
30,1.0347997373604727
31,1.019730010384216
32,1.008313539192399
33,1.0085836909871244
34,1.3674089068825912
35,1.0014903129657229
36,1.0076555023923446
37,1.0093109869646182
38,1.1188034188034188
39,1.002710027100271
40,1.0783450704225352
41,1.454013822434875
42,1.988517392772712
43,1.3733681462140992
44,1.0485133020344288
45,1.1724955542382929
46,1.0067476383265856
47,1.0131868131868131
48,1.3258741258741258
49,1.536361178696945
50,1.1134751773049645
51,1.0
52,1.003627569528416
53,1.0405405405405406
54,1.005940594059406
55,1.0025125628140703
56,1.1193139448173006
57,1.0232323232323233
58,1.0011363636363637
59,1.0129611166500498
60,1.0076923076923077
61,1.001834862385321
62,1.3761273209549072
63,1.0014814814814814
64,1.0137420718816068
65,1.6477076870044811
66,1.0078585461689586
67,1.0347284060552093
68,1.0089399744572158
69,1.0
70,1.0090805902383655
71,1.0784671532846715
72,1.9725536992840096
73,1.00625
74,1.0014005602240896
75,1.012448132780083
76,1.0044395116537181
77,1.0052424639580604
78,1.005958291956306
79,1.451209341117598
80,1.0909555442003065
81,1.2025847013622075
82,1.0162287480680061
83,1.0025542784163475
84,1.0147058823529411
85,1.0025974025974025
86,1.008174386920981
87,1.0053835800807538
88,1.04
89,1.1688223281143635
90,1.0115062761506277
91,1.0073982737361282
92,1.005008347245409
93,1.009020618556701
94,1.0068306010928962
95,1.1128775834658187
96,1.0318352059925093
97,1.0016863406408094
98,1.0148741418764302
99,1.0
100,1.008
101,1.0013404825737264
102,1.0327056491575817
103,1.1332503113325032
104,1.0121951219512195
105,1.0066445182724253
106,1.0016501650165017
107,1.0
108,1.0019880715705765
109,1.0090634441087614
110,1.0034782608695652
111,1.0387858347386172
112,1.0151515151515151
113,1.002028397565923
114,1.056527590847914
115,1.0232558139534884
116,1.1491525423728814
117,1.0069375619425174
118,1.0140421263791375
119,1.0017482517482517
120,1.054925893635571
121,1.0033444816053512
122,1.0132517838939856
123,1.002659574468085
124,1.005813953488372
125,1.0104712041884816
126,1.0104166666666667
127,1.2340862422997947
128,1.0460460460460461
129,1.0760975609756098
130,1.0015847860538827
131,1.0039267015706805
132,1.0355029585798816
133,1.014300306435138
134,1.0083333333333333
135,1.0139165009940359
136,1.015
137,1.0013020833333333
138,1.0029761904761905
139,1.0055478502080444
140,1.0
141,1.0039318479685453
142,1.0264681555004136
143,1.0046511627906978
144,1.0083217753120666
145,1.01139896373057
146,1.004750593824228
147,1.008189262966333
148,1.0043149946062568
149,1.0334044065387349
150,1.013120899718838
151,1.0015060240963856
152,1.0038095238095237
153,1.0136752136752136
154,1.007320644216691
155,1.0310077519379846
156,1.0143014301430142
157,1.1092278719397364
158,1.0064412238325282
159,1.0091503267973856
160,1.0
161,1.019426456984274
162,1.0223048327137547
163,1.004968944099379
164,1.013189448441247
165,1.013685239491691
166,1.0066225165562914
167,1.0038071065989849
168,1.001834862385321
169,1.0048780487804878
170,1.0056433408577878
171,1.159409594095941
172,1.0185792349726777
173,1.1961852861035422
174,1.0013755158184319
175,1.0055617352614015
176,1.1216617210682494
177,1.0192926045016077
178,1.015702479338843
179,1.0601336302895323
180,1.0
181,1.0386029411764706
182,1.2945712523133868
183,1.0
184,1.0
185,1.0090702947845804
186,1.0119331742243436
187,1.002805049088359
188,1.003454231433506
189,1.0274858528698465
190,1.0632008154943935
191,1.0023364485981308
192,1.009409751924722
193,1.5681360483329605
194,1.5346471710108074
195,1.0068775790921596
196,1.0043572984749456
197,1.0124879923150816
198,1.0063157894736843
199,1.001926782273603
200,1.008036739380023
201,1.0043196544276458
202,1.0246913580246915
203,1.0071123755334281
204,1.0111358574610245
205,1.0081466395112015
206,1.0727713765918738
207,1.0134969325153373
208,1.0164654226125138
209,1.0078328981723237
210,1.0042194092827004
211,1.0194085027726432
212,1.0197710718002082
213,1.0082417582417582
214,1.0
215,1.0132325141776937
216,1.0023201856148491
217,1.0023364485981308
218,1.0054446460980035
219,1.007168458781362
220,1.0664081434803685
221,1.0015337423312884
222,1.0024630541871922
223,1.0017391304347827
224,1.005298013245033
225,1.0217917675544794
226,1.0
227,1.020123839009288
228,1.0326086956521738
229,1.022887323943662
230,1.0092165898617511
231,1.0020876826722338
232,1.0903454384410982
233,1.0082720588235294
234,1.0153985507246377
235,1.0112016293279023
236,1.0058479532163742
237,1.0253549695740365
238,1.011111111111111
239,1.0138888888888888
240,1.0161073825503355
241,1.0126582278481013
242,1.033811475409836
243,1.0051635111876076
244,1.0537772087067863
245,1.056564245810056
246,1.0061425061425062
247,1.035438144329897
248,1.0021321961620469
249,1.0209923664122138
250,1.0014903129657229
251,1.0366614664586584
252,1.008230452674897
253,1.0
254,1.0308123249299719
255,1.0057937427578216
256,1.0026246719160106
257,1.0211345939933258
258,1.0323206205559148
259,1.004267425320057
260,1.007396449704142
261,1.0054466230936818
262,1.0077444336882866
263,1.0018115942028984
264,1.0018416206261511
265,1.0032258064516129
266,1.0157657657657657
267,1.0
268,1.0344827586206897
269,1.0044444444444445
270,1.0044742729306488
271,1.0062402496099845
272,1.004120879120879
273,1.0193798449612403
274,1.0041972717733474
275,1.4014175257731958
276,1.0
277,1.0014388489208632
278,1.0075642965204237
279,1.0043956043956044
280,1.0028943560057888
281,1.0066225165562914
282,1.0060386473429952
283,1.0048780487804878
284,1.0204301075268818
285,1.073764258555133
286,1.0027932960893855
287,1.002202643171806
288,1.004418262150221
289,1.0077519379844961
290,1.0032679738562091
291,1.0282186948853616
